match_id,year,stage,region,round,match_no,team_a,team_b,winner,score_a,score_b,source_url,confidence,source_id,notes
rmuc_2025_central_044,2025,区域赛,中部赛区,B组第3轮,44,华东理工大学 起源,西北工业大学 WMJ,西北工业大学 WMJ,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2929;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=华东理工大学;red_team=起源;blue_school=西北工业大学;blue_team=WMJ
rmuc_2025_central_045,2025,区域赛,中部赛区,B组第3轮,45,南昌大学 Passion,河北科技大学 Actor&Thinker,南昌大学 Passion,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2930;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=南昌大学;red_team=Passion;blue_school=河北科技大学;blue_team=Actor&Thinker
rmuc_2025_central_046,2025,区域赛,中部赛区,B组第3轮,46,长安大学 VGD,西南交通大学 Helios,西南交通大学 Helios,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2931;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=长安大学;red_team=VGD;blue_school=西南交通大学;blue_team=Helios
rmuc_2025_central_047,2025,区域赛,中部赛区,B组第3轮,47,重庆大学 千里,沈阳航空航天大学 TUP,重庆大学 千里,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2932;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=重庆大学;red_team=千里;blue_school=沈阳航空航天大学;blue_team=TUP
rmuc_2025_central_048,2025,区域赛,中部赛区,B组第3轮,48,重庆理工大学 士继DREAMER,四川大学 火锅,四川大学 火锅,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2933;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=重庆理工大学;red_team=士继DREAMER;blue_school=四川大学;blue_team=火锅
rmuc_2025_central_049,2025,区域赛,中部赛区,A组第4轮,49,西安交通大学 笃行,武汉工程大学 Nautilus,武汉工程大学 Nautilus,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2934;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西安交通大学;red_team=笃行;blue_school=武汉工程大学;blue_team=Nautilus
rmuc_2025_central_050,2025,区域赛,中部赛区,A组第4轮,50,合肥工业大学（宣城校区） WDR,哈尔滨工业大学 I Hiter,哈尔滨工业大学 I Hiter,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2935;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=合肥工业大学（宣城校区）;red_team=WDR;blue_school=哈尔滨工业大学;blue_team=I Hiter
rmuc_2025_central_051,2025,区域赛,中部赛区,A组第4轮,51,合肥工业大学 苍穹,东北林业大学 Ares,东北林业大学 Ares,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2936;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=合肥工业大学;red_team=苍穹;blue_school=东北林业大学;blue_team=Ares
rmuc_2025_central_052,2025,区域赛,中部赛区,A组第4轮,52,沈阳理工大学 Ambition,国防科技大学 军临,沈阳理工大学 Ambition,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2937;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=沈阳理工大学;red_team=Ambition;blue_school=国防科技大学;blue_team=军临
rmuc_2025_central_053,2025,区域赛,中部赛区,A组第4轮,53,西南石油大学 铁人,南华大学 MA,西南石油大学 铁人,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2938;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西南石油大学;red_team=铁人;blue_school=南华大学;blue_team=MA
rmuc_2025_central_054,2025,区域赛,中部赛区,A组第4轮,54,湖南大学 跃鹿,成都大学 Ultra,成都大学 Ultra,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2939;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=湖南大学;red_team=跃鹿;blue_school=成都大学;blue_team=Ultra
rmuc_2025_central_055,2025,区域赛,中部赛区,B组第4轮,55,中国科学技术大学 RoboWalker,西安电子科技大学 IRobot,中国科学技术大学 RoboWalker,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2940;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=中国科学技术大学;red_team=RoboWalker;blue_school=西安电子科技大学;blue_team=IRobot
rmuc_2025_central_056,2025,区域赛,中部赛区,B组第4轮,56,中南大学 FYT,南昌大学 Passion,南昌大学 Passion,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2941;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=中南大学;red_team=FYT;blue_school=南昌大学;blue_team=Passion
rmuc_2025_central_057,2025,区域赛,中部赛区,B组第4轮,57,西北工业大学 WMJ,西南交通大学 Helios,西北工业大学 WMJ,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2942;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西北工业大学;red_team=WMJ;blue_school=西南交通大学;blue_team=Helios
rmuc_2025_central_058,2025,区域赛,中部赛区,B组第4轮,58,河北科技大学 Actor&Thinker,华东理工大学 起源,华东理工大学 起源,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2943;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=河北科技大学;red_team=Actor&Thinker;blue_school=华东理工大学;blue_team=起源
rmuc_2025_central_059,2025,区域赛,中部赛区,B组第4轮,59,长安大学 VGD,安徽信息工程学院 Artisans,安徽信息工程学院 Artisans,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2944;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=长安大学;red_team=VGD;blue_school=安徽信息工程学院;blue_team=Artisans
rmuc_2025_central_060,2025,区域赛,中部赛区,B组第4轮,60,四川大学 火锅,重庆大学 千里,四川大学 火锅,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2945;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=四川大学;red_team=火锅;blue_school=重庆大学;blue_team=千里
rmuc_2025_central_061,2025,区域赛,中部赛区,A组第5轮,61,西安交通大学 笃行,合肥工业大学（宣城校区） WDR,西安交通大学 笃行,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2946;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西安交通大学;red_team=笃行;blue_school=合肥工业大学（宣城校区）;blue_team=WDR
rmuc_2025_central_062,2025,区域赛,中部赛区,A组第5轮,62,沈阳理工大学 Ambition,合肥工业大学 苍穹,沈阳理工大学 Ambition,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2947;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=沈阳理工大学;red_team=Ambition;blue_school=合肥工业大学;blue_team=苍穹
rmuc_2025_central_063,2025,区域赛,中部赛区,A组第5轮,63,成都大学 Ultra,西南石油大学 铁人,西南石油大学 铁人,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2948;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=成都大学;red_team=Ultra;blue_school=西南石油大学;blue_team=铁人
rmuc_2025_central_064,2025,区域赛,中部赛区,B组第5轮,64,西安电子科技大学 IRobot,中南大学 FYT,中南大学 FYT,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2949;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西安电子科技大学;red_team=IRobot;blue_school=中南大学;blue_team=FYT
rmuc_2025_central_065,2025,区域赛,中部赛区,B组第5轮,65,华东理工大学 起源,安徽信息工程学院 Artisans,华东理工大学 起源,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2950;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=华东理工大学;red_team=起源;blue_school=安徽信息工程学院;blue_team=Artisans
rmuc_2025_central_066,2025,区域赛,中部赛区,B组第5轮,66,四川大学 火锅,西南交通大学 Helios,四川大学 火锅,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2951;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=四川大学;red_team=火锅;blue_school=西南交通大学;blue_team=Helios
rmuc_2025_central_067,2025,区域赛,中部赛区,16进8淘汰赛,67,上海交通大学 交龙,西南石油大学 铁人,上海交通大学 交龙,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2952;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=上海交通大学;red_team=交龙;blue_school=西南石油大学;blue_team=铁人
rmuc_2025_central_068,2025,区域赛,中部赛区,16进8淘汰赛,68,南昌大学 Passion,哈尔滨工业大学 I Hiter,哈尔滨工业大学 I Hiter,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2953;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=南昌大学;red_team=Passion;blue_school=哈尔滨工业大学;blue_team=I Hiter
rmuc_2025_central_069,2025,区域赛,中部赛区,16进8淘汰赛,69,沈阳理工大学 Ambition,南京航空航天大学金城学院 Born of Fire,南京航空航天大学金城学院 Born of Fire,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2954;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=沈阳理工大学;red_team=Ambition;blue_school=南京航空航天大学金城学院;blue_team=Born of Fire
